rest,rest-href,next,next-href,rank,price,cuisine,meals,features,goodFor,hours,location,phone,rating,reveiws,moreReviews,moreReviews-href
"Time Traveller","https://www.tripadvisor.com/Restaurant_Review-g297628-d1389538-Reviews-Time_Traveller-Bengaluru_Bangalore_District_Karnataka.html","","","#3 of 10,125 Restaurants in Bengaluru","$5 -
$10","Chinese, Indian, Asian, International, Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night","Delivery, Takeout, Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Free Wifi","Large groups, Kids, Local cuisine, Business meetings, Special occasions, Dining on a budget, Families with children","","Address:
 Sai Vishram, Ground Floor, 144 - C/1, Kirloskar Road, Bommasandra, Electronics City | Near Hebbagodi Govt School, Bengaluru 560099, India","+91 80 4040 0400","","elbaamiry1









1 review 







“Excellent service ”



Reviewed 2 weeks ago



via mobile




Stayed at the hotel for 10 days , the hotel staffs are very friendly, cleanness is good.
Vegetarian restaurant have nice food, though am not vegetarian but enjoyed every meal, restaurants staff are always helpful thanks to Restaurant's Manager Sathish n his staff were very friendly n ready to help anytime.
Appreciate the service in general.




Helpful? 


Thank elbaamiry1 





Report 





SaiVishram_B, General Manager at Time Traveller, responded to this review



Greetings from Time Traveller @ Sai Vishram!!!
.We thank you for visiting Time Traveller @ Sai Vishram . Your feed back is important to us in our endeavor to continuously improve our food quality and service standards. We are happy that you enjoyed our vegetarian spread and services. We sincerely look forward to your many more visits in future, i...



More","",""
"Veena Store","https://www.tripadvisor.com/Restaurant_Review-g297628-d850372-Reviews-Veena_Store-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#55 of 10,125 Restaurants in Bengaluru","null","Breakfast, Dinner","Takeout","Families with children, Local cuisine, Dining on a budget","Monday
3:30 pm - 9:00 pm


Tuesday
3:30 pm - 9:00 pm


Wednesday
3:30 pm - 9:00 pm


Thursday
3:30 pm - 9:00 pm


Friday
3:30 pm - 9:00 pm


Saturday
3:30 pm - 9:00 pm","","Address:
 Ground Floor Margosa Road 183 15'th Cross Street | Near Lakshmi Maternity Home, Bengaluru 560055, India","+91 80 2334 4838","","vijayols



Bengaluru (Bangalore), India





Level  Contributor 


7 reviews 


3 restaurant reviews





1 helpful vote 







“Melting soft Idlis”



Reviewed February 1, 2017




Do not miss the soft idlis.The vada and kara bath are good with coffee to wash the meal down with.Chutney is nice.




Helpful? 


Thank vijayols 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d850372-Reviews-or10-Veena_Store-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"High Ultra Lounge","https://www.tripadvisor.com/Restaurant_Review-g297628-d6603023-Reviews-High_Ultra_Lounge-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#41 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Brunch, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Accepts Discover","Large groups, Romantic, Special occasions, Bar scene, Scenic view, Families with children","Sunday
5:30 pm - 11:30 pm


Monday
5:30 pm - 11:30 pm


Tuesday
5:30 pm - 11:30 pm


Wednesday
5:30 pm - 11:30 pm


Thursday
5:30 pm - 11:30 pm


Friday
5:30 pm - 11:30 pm


Saturday
5:30 pm - 11:30 pm","","Address:
 No 26 1 Rooftop Dr Raj Kumar Road | 26/1,Dr. Rajkumar Road, Malleswaram, Bengaluru 560055, India","+91 80 4567 4567","","Kristy A



Newcastle, Australia





Level  Contributor 


13 reviews 


5 restaurant reviews





6 helpful votes 







“Delicious food, excellent service”



Reviewed 2 days ago
NEW 


via mobile




As a first time traveller to India, this bar was recommended by a local, which worked out perfectly given we were staying at the Sheraton around the corner. The food at High Ultra Lounge was excellent, the chef personally came to our table prior to each course and asked us what foods we liked, and tailored a dish to our...


More  






Helpful? 


Thank Kristy A 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d6603023-Reviews-High_Ultra_Lounge-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Church Street Social","https://www.tripadvisor.com/Restaurant_Review-g297628-d6681474-Reviews-Church_Street_Social-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#34 of 10,125 Restaurants in Bengaluru","$2 -
$15","American, Indian, Bar, Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Seating, Waitstaff, Television, Serves Alcohol, Full Bar, Reservations","Special occasions, Large groups, Bar scene","","Address:
 46/1 Cobalt Building Church Street | Cobalt Building, Bengaluru 560001, India","+91 80 4171 3016","29","","",""
"The Biere Club","https://www.tripadvisor.com/Restaurant_Review-g297628-d2374783-Reviews-The_Biere_Club-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#42 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Brunch, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Television, Serves Alcohol, Full Bar, Valet Parking","Bar scene, Large groups, Special occasions","Sunday
11:30 am - 10:30 pm


Monday
11:30 am - 10:30 pm


Tuesday
11:30 am - 10:30 pm


Wednesday
11:30 am - 10:30 pm


Thursday
11:30 am - 10:30 pm


Friday
11:30 am - 10:30 pm


Saturday
11:30 am - 10:30 pm","","Address:
 2nd Floor Near Shell Petrol Pump 20 2 Vittal Mallya Road | Lavelle Road Area, Lavelle Road, Bengaluru 560001, India","+91 80 4212 4383","","travelhappyMumbai



Mumbai





Level  Contributor 


76 reviews 


23 restaurant reviews





37 helpful votes 







“Hip high energy evening”



Reviewed February 18, 2017




great place for an after-work drink. always buzzing, great energy. Serves a whole ranges of spirits - not just beer.




Helpful? 


Thank travelhappyMumbai 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d2374783-Reviews-or10-The_Biere_Club-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Jamavar","https://www.tripadvisor.com/Restaurant_Review-g297628-d1161756-Reviews-Jamavar-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#49 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Private Dining, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Buffet","Families with children, Special occasions, Business meetings, Romantic, Large groups","Sunday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Monday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Tuesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Wednesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Thursday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Friday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Saturday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm","","Address:
 The Leela Palace Old Airport Road, Bengaluru 560008, India","+91 80 2521 1234","","MonikaBharath



Bengaluru, India





Level  Contributor 


57 reviews 


13 restaurant reviews





4 helpful votes 







“Best Fine Dine!”



Reviewed December 11, 2016




Lovely ambiance, courteous staff, tasty food, varied options for food. One of the memorable dining experiences one can have.




Helpful? 


Thank MonikaBharath 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d1161756-Reviews-or10-Jamavar-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Smoke House Deli","https://www.tripadvisor.com/Restaurant_Review-g297628-d4086719-Reviews-Smoke_House_Deli-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#36 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Valet Parking, Serves Alcohol, Full Bar, Takeout","Large groups, Kids, Families with children, Business meetings, Special occasions","Sunday
9:00 am - 11:00 pm


Monday
9:00 am - 11:00 pm


Tuesday
9:00 am - 11:00 pm


Wednesday
9:00 am - 11:00 pm


Thursday
9:00 am - 11:00 pm


Friday
9:00 am - 11:00 pm


Saturday
9:00 am - 11:00 pm","","Address:
 100 Feet Road, Opposite Titan Showroom | Indiranagar, Bengaluru 560038, India","+91 80 2520 0898","","Vineeta R



Bangalore, India





Level  Contributor 


13 reviews 




3 helpful votes 







“Service below expectations :(”



Reviewed March 21, 2017



via mobile




I visited this place on 21 March2017. The selection was based on number of stars 4.2 on Google. For vegetarians there are not many options.. For non vegetarian there are ample but be mindful.. You will not find the Indian taste.. It's European.. The service is pathetic. Very very slow and in spite of not many guests around it was...


More  






Helpful? 


Thank Vineeta R 





Report 





Smoke House D, Manager at Smoke House Deli, responded to this review



Hi Vineeta,
It’s really disheartening to hear about your recent experience at Smoke House Deli. Customer satisfaction is our top priority and we strive to ensure our guests always have a good time.
We would request you to please write in to shambhavi@impresario.in with your contact information so we can get in touch with you personally and address your concerns....



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d4086719-Reviews-or10-Smoke_House_Deli-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"The Only Place","https://www.tripadvisor.com/Restaurant_Review-g297628-d806908-Reviews-The_Only_Place-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#47 of 10,125 Restaurants in Bengaluru","$5 -
$10","Italian, American, Steakhouse, European, Vegetarian Friendly","Lunch, Dinner, Brunch, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Valet Parking, Wheelchair Accessible","Large groups, Kids, Families with children, Special occasions","","Address:
 No 13 Museum Road, Bengaluru 560001, India","null","","Stefano B



San Benedetto Del Tronto, Italy





Level  Contributor 


14 reviews 


11 restaurant reviews





1 helpful vote 







“Good ”



Reviewed February 1, 2017



via mobile




Sober place with surpring choice of good meat!
The quality of dessert can and must be improved
Good ratio among quality and price




Helpful? 


Thank Stefano B 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d806908-Reviews-or10-The_Only_Place-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"The Fisherman's Wharf","https://www.tripadvisor.com/Restaurant_Review-g297628-d3207659-Reviews-The_Fisherman_s_Wharf-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#32 of 10,125 Restaurants in Bengaluru","$8 -
$23","Indian, Seafood, Asian, Soups, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Lunch, Dinner, Late Night","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Highchairs Available","Bar scene, Families with children, Special occasions, Kids, Local cuisine, Business meetings, Romantic, Large groups","","Address:
 FWB- #26 Harulur Rd | Opp. Shub Enclave Ambalipura Village Varthur Hobli Off Sarjapur Rd, Bengaluru 560102, India","+91 98440 80000","","r_pads








Level  Contributor 


22 reviews 


4 restaurant reviews





2 helpful votes 







“Nice ambience, wide range of starters served at the table.”



Reviewed March 1, 2017




Central business area. Valet parking. Went for an afternoon weekend buffet, with family. Everyone from young to old liked it. . Myself did not go for the main course, was full with starters , thought the others said the main dishes were also good. Kids liked the deserts options.




Helpful? 


Thank r_pads 





Report 





thefishermanswharf, Manager at The Fisherman's Wharf, responded to this review



Dear Sir/Madam,
Greetings from the Fisherman,s Wharf!!
On behalf of the team I would like to thank you for giving us an opportunity to serve you at The Fisherman's Wharf
I’m glad to hear that you thoroughly enjoyed the dining experience; individual feedback like yours will help us in understanding our daily operations & quality of food & service. I’m...



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d3207659-Reviews-or10-The_Fisherman_s_Wharf-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Ottimo","https://www.tripadvisor.com/Restaurant_Review-g297628-d6751069-Reviews-Ottimo-Bengaluru_Bangalore_District_Karnataka.html","","","#11 of 10,125 Restaurants in Bengaluru","null","Dinner","Validated Parking, Valet Parking, Reservations, Seating, Waitstaff, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only","Large groups, Families with children, Romantic, Business meetings, Special occasions","Sunday
7:00 pm - 11:30 pm


Monday
7:00 pm - 11:30 pm


Tuesday
7:00 pm - 11:30 pm


Wednesday
7:00 pm - 11:30 pm


Thursday
7:00 pm - 11:30 pm


Friday
7:00 pm - 11:30 pm


Saturday
7:00 pm - 11:30 pm","Thursday
7:00 pm - 11:30 pm","Address:
 Residency Road, Bengaluru 560025, India","+91 72597 76577","","","",""
"Absolute Barbecue","https://www.tripadvisor.com/Restaurant_Review-g297628-d5567563-Reviews-Absolute_Barbecue-Bengaluru_Bangalore_District_Karnataka.html","","","#12 of 10,125 Restaurants in Bengaluru","$10 -
$15","Indian, Barbecue, Asian, Vegetarian Friendly, Halal, Vegan Options, Gluten Free Options","Brunch, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Highchairs Available","Kids, Families with children, Special occasions, Large groups","","Address:
 3rd Floor Near Park Plaza Hotel 90 4 Outer Ring Road | Marathalli outer ring road, Bengaluru 560037, India","+91 88800 99992","","AzadAjay








Level  Contributor 


54 reviews 


18 restaurant reviews





3 helpful votes 







“Excellent buffet...”



Reviewed 4 weeks ago




Really nice in terms of food quality, service and available edible options...Can have nice party over there.




Helpful? 


Thank AzadAjay 





Report 





Arup C, Guest Relations Manager at Absolute Barbecue, responded to this review



Hello Mr Azad Ajay
Thank you for reviewing us. We indeed look forward to have you with us soon.
Happy Barbecuing.
Regards
Team AB's



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d5567563-Reviews-or10-Absolute_Barbecue-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
